"Freq [GHz]","dB(S(1,1)) []"
1,-11.2977432789385
1.1,-11.2266818903499
1.2,-11.1470187603047
1.3,-11.0581323104757
1.4,-10.9592810598002
1.5,-10.8495775387916
1.6,-10.7279544222703
1.7,-10.5931201221886
1.8,-10.4434999065519
1.9,-10.277156851591
2,-10.0916842597359
2.1,-9.88405703962917
2.2,-9.65042303748165
2.3,-9.38580490339095
2.4,-9.08366620035548
2.5,-8.73526787870592
2.6,-8.32869648654577
2.7,-7.8473763527667
2.8,-7.26779011290976
2.9,-6.55612043669622
3,-5.66417848690929
3.1,-4.52957370028239
3.2,-3.11180633703321
3.3,-1.63060740309779
3.4,-1.35051392120412
3.5,-3.74679897815515
3.6,-7.33858410905431
3.7,-10.4932377350309
3.8,-12.6378714937458
3.9,-13.6953615682683
4,-13.943944973068
4.1,-13.7508059592623
4.2,-13.3655992356761
4.3,-12.9130465649862
4.4,-12.4463821464664
4.5,-11.9856693770005
4.6,-11.5368498197687
4.7,-11.1002334530228
4.8,-10.674188686245
4.9,-10.2567721139816
5,-9.84650083381312
5.1,-9.44279245869423
5.2,-9.04630816255197
5.3,-8.65930668989899
5.4,-8.28605236241751
5.5,-7.93327055840095
5.6,-7.61058384517762
5.7,-7.33077752302889
5.8,-7.10964241660574
5.9,-6.96507494753948
6,-6.91518484403355
6.1,-6.97548364158647
6.2,-7.15577769951632
6.3,-7.45785453948578
6.4,-7.87496411465356
6.5,-8.39332994911113
6.6,-8.9949828115176
6.7,-9.66077643605765
6.8,-10.3726987447345
6.9,-11.1151586710899
7,-11.8753781285254
7.1,-12.6431982087726
7.2,-13.4105907499063
7.3,-14.1710728740813
7.4,-14.9191305566867
7.5,-15.6496950659314
7.6,-16.3576836419305
7.7,-17.0376056229646
7.8,-17.6832405684939
7.9,-18.287411191065
8,-18.8418968679805
8.1,-19.3375558087849
8.2,-19.7647317129451
8.3,-20.1139936994454
8.4,-20.3771790238414
8.5,-20.5485824256151
8.6,-20.6260122999722
8.7,-20.6113936579467
8.8,-20.5107002551314
8.9,-20.333216361947
9,-20.090349487592
9.1,-19.7943229482694
9.2,-19.4570386972006
9.3,-19.0892728064947
9.4,-18.7002317933146
9.5,-18.2974099231531
9.6,-17.8866541743312
9.7,-17.4723479099926
9.8,-17.0576456204829
9.9,-16.6447149508894
10,-16.2349618500341
10.1,-15.8292284080407
10.2,-15.4279615300291
10.3,-15.031355460341
10.4,-14.6394736724871
10.5,-14.252356786003
10.6,-13.8701236267141
10.7,-13.4930726835943
10.8,-13.1217911557291
10.9,-12.7572783944119
11,-12.4010893713404
11.1,-12.0555009221408
11.2,-11.7236973471615
11.3,-11.4099601334152
11.4,-11.119826175832
11.5,-10.8601477178901
11.6,-10.6389471170464
11.7,-10.4649223295349
11.8,-10.3464533766796
11.9,-10.2900307742665
12,-10.2982124415526
12.1,-10.3674990886896
12.2,-10.4867849141953
12.3,-10.6371106320036
12.4,-10.7931978329511
12.5,-10.9267194195858
12.6,-11.0106390097115
12.7,-11.0234627660373
12.8,-10.9521398874937
12.9,-10.7927976689772
13,-10.5493641944203
13.1,-10.2309173116145
13.2,-9.84884439479392
13.3,-9.41459430073214
13.4,-8.9383007997189
13.5,-8.4281807183289
13.6,-7.89045813675409
13.7,-7.32957374654905
13.8,-6.74851003850277
13.9,-6.14913729840486
14,-5.53253995103146
14.1,-4.89931662020774
14.2,-4.24986661889191
14.3,-3.58468697631405
14.4,-2.90471209767881
14.5,-2.21173482460457
14.6,-1.50895212080866
14.7,-0.801675326096017
14.8,-0.0982205089956081
14.9,0.589076243874098
15,1.24292611025276
