Variation,g1,g2,g3,l1,l2,lw,patch_r,slot_length,sw,dB(S(1 1)): Freq(6.6GHz),max(dB(S(1 1))): Freq(2.5GHz:6.3GHz),max(dB(S(1 1))): Freq(6.8GHz:12GHz),Cost
1,21.333333mm,3.3959184mm,6.7210884mm,9.5360544mm,1.6598639mm,2.8095238mm,4.8435374mm,13.333333mm,0.82312925mm,-8.8326377,-10.249569,11.938918,484.67467
2,23.836735mm,4.9612245mm,2.7238095mm,13.74966mm,2.8163265mm,3.4285714mm,8.9251701mm,19.863946mm,1.0272109mm,-7.0893821,-2.0045453,-3.9477675,100.5648
3,21.768707mm,4.6959184mm,3.4312925mm,12.973469mm,1.4965986mm,5.2142857mm,6.8571429mm,23.537415mm,1.2312925mm,-1.3916877,-4.5854266,25.491762,1288.9828
4,19.591837mm,3.5816327mm,2.8653061mm,10.090476mm,2.4489796mm,2.3095238mm,4.6802721mm,23.265306mm,0.98639456mm,-11.062778,-11.480811,12.762505,534.6378
5,18.612245mm,3.8734694mm,2.7945578mm,21.844218mm,2.3809524mm,3.0952381mm,4.1360544mm,15.782313mm,0.78231293mm,-13.309701,-11.843178,-6.4480122,52.428944
6,17.85034mm,5.8102041mm,4.0680272mm,16.743537mm,2.6802721mm,2.6428571mm,6.2585034mm,16.326531mm,1.4489796mm,-14.698473,-11.490311,-5.1400147,82.885948
7,19.37415mm,3.3693878mm,3.1836735mm,15.967347mm,1.1836735mm,4mm,11.428571mm,20.272109mm,1.3741497mm,-8.7551404,3.2551877,-5.0661077,203.12381
8,15.238095mm,5.3061224mm,4.5986395mm,17.963265mm,1.047619mm,3.3333333mm,4.0272109mm,13.197279mm,1.0136054mm,-15.385287,-1.0947659,-3.7288588,188.94344
9,10.013605mm,4.1387755mm,7.7823129mm,12.640816mm,2.0680272mm,5.0714286mm,8.9795918mm,16.054422mm,1.1972789mm,-13.53344,-6.854947,-4.0790469,87.634878
10,13.278912mm,4.6428571mm,5.6244898mm,21.178912mm,2.9115646mm,2.3809524mm,8.2721088mm,10.748299mm,0.72789116mm,-14.407497,-9.4878592,-8.3104164,57.987995
11,10.666667mm,2.5469388mm,2.829932mm,13.195238mm,1.8095238mm,2.3333333mm,9.1972789mm,12.380952mm,0.97959184mm,-13.642717,-11.294969,-10.817292,44.125684
12,8.1632653mm,3.9795918mm,4.492517mm,14.858503mm,1.755102mm,5.1428571mm,8.8163265mm,29.251701mm,0.91836735mm,-10.334998,-4.4225129,-7.5521522,48.222534
13,16.326531mm,2.4142857mm,3.2544218mm,21.068027mm,1.5510204mm,3.2857143mm,11.809524mm,19.319728mm,0.6462585mm,-13.313526,-10.637786,-5.1246759,63.629391
14,13.823129mm,3.7408163mm,4.7401361mm,15.52381mm,2.8435374mm,1.7857143mm,4.952381mm,25.442177mm,1.3265306mm,-11.709971,-4.5806179,-11.43204,51.553533
15,15.673469mm,3.9530612mm,5.447619mm,10.312245mm,2.7482993mm,2.2380952mm,5.170068mm,14.285714mm,0.58503401mm,-10.820129,-11.372055,3.3476175,192.75228
16,19.809524mm,5.2mm,3.3605442mm,16.078231mm,1.3061224mm,2.5952381mm,6.9659864mm,28.027211mm,0.80952381mm,-13.054861,-1.2451207,-4.2431898,146.45012
17,11.537415mm,4.0061224mm,6.0489796mm,8.2054422mm,1.5238095mm,4.2857143mm,5.0068027mm,17.278912mm,0.62585034mm,-12.546604,15.631506,5.9880894,943.35792
18,21.877551mm,5.0938776mm,3.0068027mm,23.063946mm,2.3537415mm,3.3809524mm,8.1088435mm,28.29932mm,0.95918367mm,-11.127614,-11.348359,-7.0504763,25.73689
19,20.462585mm,3.2102041mm,3.9619048mm,23.95102mm,2.1496599mm,4.6904762mm,6.6394558mm,26.530612mm,0.68707483mm,-8.8234327,-9.9564156,-1.7464379,71.448094
20,12.517007mm,3.8469388mm,7.2517007mm,17.187075mm,1.2380952mm,4.3333333mm,9.7959184mm,26.394558mm,1.4353741mm,-14.91422,-6.469456,-0.67902658,161.98016
21,12.081633mm,5.677551mm,6.0136054mm,13.417007mm,1.3469388mm,3.0714286mm,6.4761905mm,23.129252mm,0.53741497mm,-8.1127361,-3.5085062,-7.418509,50.041769
22,21.986395mm,3.1040816mm,5.5537415mm,22.620408mm,2.0408163mm,2.8571429mm,9.6326531mm,11.70068mm,0.67346939mm,-13.116517,-12.18821,-10.715349,37.411778
23,10.340136mm,4.0326531mm,6.8979592mm,22.953061mm,1.7959184mm,3.047619mm,9.9047619mm,27.482993mm,0.65986395mm,-14.774664,-5.1997466,-7.8055168,88.303596
24,9.9047619mm,5.6244898mm,3.0421769mm,20.402721mm,2.0544218mm,2.7142857mm,8.4897959mm,20mm,1.3537415mm,-11.400233,-6.8972964,-11.373482,28.988817
25,12.62585mm,4.1122449mm,5.4829932mm,18.07415mm,2.4897959mm,5.047619mm,11.646259mm,13.061224mm,1.2585034mm,-16.311659,-6.4052444,-2.4781637,156.20729
26,10.557823mm,4.3510204mm,6.4380952mm,12.529932mm,1.2517007mm,2.2142857mm,7.5102041mm,12.108844mm,0.79591837mm,-12.632952,-9.2405094,-10.481442,32.306971
27,19.918367mm,5.5714286mm,6.5442177mm,10.644898mm,2.6122449mm,3.9047619mm,5.6054422mm,17.414966mm,1.3605442mm,-15.338138,1.8300856,8.7704725,561.80611
28,9.2517007mm,5.6510204mm,4.6693878mm,17.741497mm,2.7346939mm,3.4047619mm,11.537415mm,18.367347mm,0.85034014mm,-7.4467277,-7.5180018,-4.2451003,39.478751
29,16.217687mm,1.9632653mm,5.5183673mm,17.630612mm,1.8367347mm,2.047619mm,9.5238095mm,29.795918mm,1.0952381mm,-13.383721,-11.700755,-10.613136,40.751892
30,13.714286mm,4.2979592mm,4.3510204mm,15.302041mm,2.6258503mm,5.1666667mm,5.3333333mm,25.170068mm,0.59183673mm,-13.06759,4.1901996,-4.6350924,266.95965
31,9.0340136mm,3.6346939mm,4.1034014mm,22.842177mm,1.2789116mm,2.6190476mm,10.557823mm,17.55102mm,0.82993197mm,-15.880585,-7.7696031,-9.6244813,83.980476
32,15.564626mm,4.6693878mm,4.1741497mm,10.755782mm,1.3605442mm,2.7619048mm,11.482993mm,26.122449mm,1.3197279mm,-9.2049789,-10.044639,3.0284347,174.60204
33,20.136054mm,2.3081633mm,6.6857143mm,16.3mm,2.8571429mm,2.4047619mm,7.9455782mm,23.809524mm,0.71428571mm,-18.904617,1.8399099,-2.9821994,331.15289
34,17.088435mm,2.4938776mm,7.1809524mm,12.086395mm,2.952381mm,4.452381mm,8.5442177mm,18.639456mm,1.3401361mm,-5.711018,-7.2739844,12.851049,529.60158
35,17.306122mm,4.5632653mm,4.2095238mm,9.9795918mm,2.707483mm,4.4285714mm,7.6190476mm,28.843537mm,1.3469388mm,-7.9122143,-8.9696228,11.895567,481.30966
36,15.455782mm,5.8367347mm,6.8272109mm,20.070068mm,1.9047619mm,2.3571429mm,8.2176871mm,28.571429mm,1.1632653mm,-15.246158,-10.28342,-9.2883586,68.505553
