"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
11.27,90,0,-4.23987355409722
11.27,90,5,-4.19121590796488
11.27,90,10,-3.31173938810352
11.27,90,15,-1.98936936148123
11.27,90,20,-0.767994059820836
11.27,90,25,0.147841783805025
11.27,90,30,0.750754331098447
11.27,90,35,1.06668257901436
11.27,90,40,1.09845620631291
11.27,90,45,0.812327612147853
11.27,90,50,0.136479179114289
11.27,90,55,-1.02598370349334
11.27,90,60,-2.78888480777728
11.27,90,65,-5.31979865629221
11.27,90,70,-8.99096147436324
11.27,90,75,-14.9577921343166
11.27,90,80,-24.2317539784095
11.27,90,85,-15.1947960558932
11.27,90,90,-9.87525874333286
11.27,90,95,-6.59036933285427
11.27,90,100,-4.16606068897639
11.27,90,105,-2.198570754965
11.27,90,110,-0.543965218224023
11.27,90,115,0.819768896985917
11.27,90,120,1.86135504699988
11.27,90,125,2.54314237960981
11.27,90,130,2.84945036375782
11.27,90,135,2.79719664909519
11.27,90,140,2.42705261064657
11.27,90,145,1.77423760052197
11.27,90,150,0.831560566002033
11.27,90,155,-0.473270914589767
11.27,90,160,-2.26307740631809
11.27,90,165,-4.59190557886881
11.27,90,170,-6.98135586085679
11.27,90,175,-7.92714752292718
11.27,90,180,-7.23742423652192
