"Freq [GHz]","Theta [deg]","Phi [deg]","dB(GainTotal) []"
3.65,90,0,1.67123560504003
3.65,90,5,1.57370281226354
3.65,90,10,1.40672791267647
3.65,90,15,1.16914664460899
3.65,90,20,0.858709712170342
3.65,90,25,0.47198237314153
3.65,90,30,0.00415659047743813
3.65,90,35,-0.55127956969208
3.65,90,40,-1.20309608224113
3.65,90,45,-1.96322179884914
3.65,90,50,-2.84819493323982
3.65,90,55,-3.88152568004797
3.65,90,60,-5.09766414160949
3.65,90,65,-6.54897450575899
3.65,90,70,-8.31864942947172
3.65,90,75,-10.5454363313954
3.65,90,80,-13.465188961789
3.65,90,85,-17.3567800707426
3.65,90,90,-20.6464615000933
3.65,90,95,-17.9875103066382
3.65,90,100,-13.961786884888
3.65,90,105,-10.9067122799954
3.65,90,110,-8.58962089945755
3.65,90,115,-6.75744449167499
3.65,90,120,-5.26013495383359
3.65,90,125,-4.00836421490841
3.65,90,130,-2.94638643295076
3.65,90,135,-2.0378480395081
3.65,90,140,-1.25817458352885
3.65,90,145,-0.590260708457437
3.65,90,150,-0.0219042229754304
3.65,90,155,0.455778876788645
3.65,90,160,0.849350608302819
3.65,90,165,1.16367269815696
3.65,90,170,1.40228035574939
3.65,90,175,1.56758985939167
3.65,90,180,1.66099657029576
3.65,90,185,1.68290289617658
3.65,90,190,1.63270088358871
3.65,90,195,1.50871911545077
3.65,90,200,1.30812785438395
3.65,90,205,1.02677992140669
3.65,90,210,0.658946962484554
3.65,90,215,0.196888656298528
3.65,90,220,-0.369841230382291
3.65,90,225,-1.05550911794156
3.65,90,230,-1.8800162678892
3.65,90,235,-2.87195754789314
3.65,90,240,-4.07407312690375
3.65,90,245,-5.55376254983573
3.65,90,250,-7.42567190136869
3.65,90,255,-9.90822516422461
3.65,90,260,-13.503070257428
3.65,90,265,-19.8899975736951
3.65,90,270,-39.8240845823643
3.65,90,275,-18.3831757975477
3.65,90,280,-12.7558938917903
3.65,90,285,-9.41637229122289
3.65,90,290,-7.06357297568595
3.65,90,295,-5.27137512647742
3.65,90,300,-3.84647469175691
3.65,90,305,-2.68494282768552
3.65,90,310,-1.72470239774604
3.65,90,315,-0.925952906896966
3.65,90,320,-0.261862450103196
3.65,90,325,0.286344343124723
3.65,90,330,0.732190527897296
3.65,90,335,1.08564091760204
3.65,90,340,1.35415938622323
3.65,90,345,1.54337202136221
3.65,90,350,1.65747244227849
3.65,90,355,1.69945501310674
3.65,90,360,1.67123560504003
