freq_ghz,s11_db
1,-12.4037003277195
1.1,-12.290415709
1.2,-12.1544500119977
1.3,-11.9897382535724
1.4,-11.7873617197476
1.5,-11.533678413196
1.6,-11.206773201028
1.7,-10.7692059295957
1.8,-10.1518388034276
1.9,-9.21414124439085
2,-7.644280273143
2.1,-5.01745410615626
2.2,-7.42136183972463
2.3,-16.4710602567156
2.4,-18.4971953863042
2.5,-17.2518373142941
2.6,-16.190171620086
2.7,-15.4413999175604
2.8,-14.8874126525086
2.9,-14.451358734804
3,-14.0893929697762
3.1,-13.7760845935664
3.2,-13.4964921233057
3.3,-13.2422278934851
3.4,-13.0095872523612
3.5,-12.798765619933
3.6,-12.613619278444
3.7,-12.4615369339053
3.8,-12.3529194682034
3.9,-12.2996655301908
4,-12.3122003414575
4.1,-12.395294576888
4.2,-12.5441590363387
4.3,-12.743141498343
4.4,-12.9684982030756
4.5,-13.1942790861454
4.6,-13.398425988022
4.7,-13.5664648451279
4.8,-13.6920633207142
4.9,-13.7753919795544
5,-13.8207074917956
5.1,-13.8341661493025
5.2,-13.82225746934
5.3,-13.7908205764031
5.4,-13.7444254787004
5.5,-13.6858723839664
5.6,-13.6155875564158
5.7,-13.5307172169358
5.8,-13.4237110603743
5.9,-13.280105872894
6,-13.0749749783005
6.1,-12.7668809301852
6.2,-12.2866972105292
6.3,-11.5156959985382
6.4,-10.2451890863723
6.5,-8.15983651309056
6.6,-5.63270572405106
6.7,-6.96788537222638
6.8,-10.8607023407792
6.9,-13.4045772227282
7,-14.6938053087428
7.1,-15.272739584815
7.2,-15.4857442543505
7.3,-15.5109710109538
7.4,-15.4373275211154
7.5,-15.3103830497172
7.6,-15.1548007690254
7.7,-14.9848835444876
7.8,-14.8095927353577
7.9,-14.6349857188002
8,-14.4653979735417
8.1,-14.3039825444062
8.2,-14.1529113231689
8.3,-14.0134098323174
8.4,-13.8857377894633
8.5,-13.7691939848811
8.6,-13.6621941875734
8.7,-13.5624386325076
8.8,-13.4671548061975
8.9,-13.3733794469271
9,-13.2782365191637
9.1,-13.1791752896399
9.2,-13.0741491573224
9.3,-12.9617343238346
9.4,-12.841202086968
9.5,-12.7125670475974
9.6,-12.5766361314093
9.7,-12.4350815482346
9.8,-12.290555775689
9.9,-12.1468579149685
10,-12.0091454847324
10.1,-11.8841582707482
10.2,-11.7803736487733
10.3,-11.707940621643
10.4,-11.6781515049385
10.5,-11.7021497259022
10.6,-11.7886374538569
10.7,-11.9406656880108
10.8,-12.1522014315429
10.9,-12.4058443798556
11,-12.6732904983039
11.1,-12.919431472681
11.2,-13.1093842822946
11.3,-13.2160380465359
11.4,-13.225081769934
11.5,-13.1356824214053
11.6,-12.9573224217798
11.7,-12.7049910144154
11.8,-12.3949070408513
11.9,-12.041823598208
12,-11.6578882089767
12.1,-11.2525483551652
12.2,-10.83298298497
12.3,-10.4047128030221
12.4,-9.97221188706854
12.5,-9.53945330528345
12.6,-9.11037658537465
12.7,-8.68928423381415
12.8,-8.28117342868423
12.9,-7.89199650127384
13,-7.52882494721368
13.1,-7.1998711697371
13.2,-6.9143075878363
13.3,-6.68182640192937
13.4,-6.5119195176499
13.5,-6.41293363079872
13.6,-6.39105480735282
13.7,-6.4494550553329
13.8,-6.58783335089236
13.9,-6.80247887431455
14,-7.08681265111494
14.1,-7.43221114525298
14.2,-7.82885494391323
14.3,-8.26639070712151
14.4,-8.73430447682328
14.5,-9.22202658775734
14.6,-9.7188889313523
14.7,-10.2141184050941
14.8,-10.6970598305478
14.9,-11.1577522676144
15,-11.5878223760132
