freq_ghz,s11_db
1.0,-0.0005390065406884875
1.1,-0.0009266325851507626
1.2,-0.001591241888272089
1.3,-0.0027525135083952355
1.4,-0.004840723657101934
1.5,-0.00875315245174022
1.6,-0.016521511975456954
1.7,-0.033290935239620636
1.8,-0.07434181027351737
1.9,-0.19743593544087368
2.0,-0.7231216930587627
2.1,-3.7908062913665703
2.2,-2.1966369580005933
2.3,-0.8453911896109625
2.4,-0.49483374600346325
2.5,-0.36305434974321643
2.6,-0.3040134942725719
2.7,-0.27754378807001234
2.8,-0.26938162999467374
2.9,-0.27378628388732446
3.0,-0.2885105433141039
3.1,-0.31303734656889726
3.2,-0.34786463827365977
3.3,-0.39415102457490137
3.4,-0.45344138909228526
3.5,-0.5273008819925945
3.6,-0.6167128239959527
3.7,-0.7211439990734548
3.8,-0.8373553964593722
3.9,-0.9584180203275926
4.0,-1.073841156298116
4.1,-1.1716590832804066
4.2,-1.2421483208992052
4.3,-1.2811865682907708
4.4,-1.2910788789851833
4.5,-1.2786113621308413
4.6,-1.2520328060684247
4.7,-1.2187254245742003
4.8,-1.1841609824298875
4.9,-1.1518242847039701
5.0,-1.1235746301419052
5.1,-1.100080334015485
5.2,-1.0811652480332627
5.3,-1.0660318627712675
5.4,-1.0533804036768857
5.5,-1.0414607030537675
5.6,-1.0280967992148968
5.7,-1.010723261613178
5.8,-0.9864703856474559
5.9,-0.9523401028623115
6.0,-0.9055644103130811
6.1,-0.8444959781210357
6.2,-0.7715488534308174
6.3,-0.7053723823944441
6.4,-0.7423962337675173
6.5,-1.439244036503231
6.6,-5.518736890485497
6.7,-6.912263364682765
6.8,-4.144713962785752
6.9,-2.985850586275908
7.0,-2.4269872144075992
7.1,-2.1084811080092587
7.2,-1.9067849142279063
7.3,-1.771022977594099
7.4,-1.6770247996988108
7.5,-1.6119999190159562
7.6,-1.5685691434591742
7.7,-1.5421255682060786
7.8,-1.5295364765967396
7.9,-1.5284455071632086
8.0,-1.5368754760615362
8.1,-1.5530055909625398
8.2,-1.5750687614852787
8.3,-1.6013419351216136
8.4,-1.6302071423977598
8.5,-1.6602555167397848
8.6,-1.6904006886158047
8.7,-1.7199688859803852
8.8,-1.7487431947549128
8.9,-1.7769554308481408
9.0,-1.8052343971464355
9.1,-1.8345283576875455
9.2,-1.8660205524851328
9.3,-1.9010513320995048
9.4,-1.9410523465757723
9.5,-1.9874898906541747
9.6,-2.041807135271057
9.7,-2.105348373923126
9.8,-2.179241899889849
9.9,-2.264211688078603
10.0,-2.3602839367534574
10.1,-2.4663597010795346
10.2,-2.5796540394292613
10.3,-2.6950782832264144
10.4,-2.8047849166264225
10.5,-2.8982807453764527
10.6,-2.9636095274829986
10.7,-2.989850416640704
10.8,-2.9704062342799533
10.9,-2.905638574453831
11.0,-2.803292464001754
11.1,-2.676343385567314
11.2,-2.5394797071349178
11.3,-2.40597680470972
11.4,-2.2859971658577427
11.5,-2.1863124496072976
11.6,-2.110889009110613
11.7,-2.0617657954647854
11.8,-2.039875507393753
11.9,-2.0456731237876964
12.0,-2.079561005315272
12.1,-2.142149079393873
12.2,-2.2343956480660108
12.3,-2.357664143226166
12.4,-2.5137166783100224
12.5,-2.704651445810364
12.6,-2.9327788467527482
12.7,-3.2004201534204646
12.8,-3.5096016600175597
12.9,-3.861606300277079
13.0,-4.256334736645403
13.1,-4.691423808104743
13.2,-5.161085190462501
13.3,-5.65469045516293
13.4,-6.155292190941543
13.5,-6.638593409580109
13.6,-7.073338129061622
13.7,-7.42439433344797
13.8,-7.659219063684763
13.9,-7.756344190489263
14.0,-7.712011734905571
14.1,-7.540982025607118
14.2,-7.271080055734348
14.3,-6.935006520891762
14.4,-6.5635232146172395
14.5,-6.181822335636723
14.6,-5.808627419221129
14.7,-5.456772463010864
14.8,-5.134243476331663
14.9,-4.845170948395328
15.0,-4.590643287200203
